Place,Username,Points,Victories,Games,Kills,Deaths,Beds,Teams Eliminated,Winstreak,Country
274,Erdnaxelaa,1254310,3662,3859,23947,5459,3809,3182,14,France

275,luigibrotherr,1253300,3137,6821,30053,17404,5142,3834,2,None

276,Monumii_,1249265,3395,5253,24385,12316,2811,2486,0,None

277,Haspe,1246760,3084,4284,35340,6381,6191,5581,0,None

278,CasualSushi,1246290,3163,5270,28732,12665,3862,4335,0,None

279,ThenchBestWW,1238670,3399,5001,23438,8262,2216,7342,0,Germany

280,zJ0nny,1235305,3286,4556,25828,11678,2535,3830,0,Norway

281,Phxsphenes,1230725,3760,4817,26328,9979,4441,3765,0,United Kingdom

282,JackOLyn,1229000,3452,5599,25879,11493,3579,3163,0,None

283,Hcmi,1225955,3600,6694,22951,18802,1964,1707,0,Zimbabwe

284,WeVeAgiftForYou,1224185,2849,4206,34095,9583,5362,6373,4,None

285,Unsubstantial,1218695,3059,5185,32717,13398,5624,5352,1,None

286,Rymm_,1218210,3419,5615,22537,11831,5052,3890,2,None

287,Koriikachu,1217490,3128,3502,26879,4681,10848,10213,3,France

288,Gaedenn,1215545,3037,5103,22373,16329,6490,4625,0,United Kingdom

289,FaZeXSpIcyX,1215075,3103,4061,28723,7432,6085,4797,0,Martinique

290,mwrty,1208935,3187,3998,30916,8895,6257,5009,0,France

291,Ajonc,1207965,2780,4380,34479,16620,5107,4681,3,Italy

292,Anto726,1207900,2996,4418,39963,6944,3831,3452,6,None

293,George_ftw,1206350,3695,4844,22588,8139,2363,2951,33,Oman

294,73th,1203235,3291,4397,22344,8830,3855,3071,2,None

295,x0gl,1203235,2995,4772,25563,13512,4982,3927,5,South Korea

296,AI5U,1203085,3404,3496,19444,3664,3143,3087,17,None

297,TryMeHacker,1202995,2851,380,22472,15409,4485,3881,4,United Kingdom

298,xxAri,1202850,3331,6086,16175,13811,3088,2079,5,United States

299,AnalisaPoop,1202315,3358,9175,20610,25839,3609,2271,0,United States

300,4A4iden,1201385,3252,4428,20169,9407,3510,2959,1,Togo

301,Areios,1201280,2982,5554,24765,13738,3994,3144,0,Australia

302,Endxrna,1199935,3134,6249,22964,14667,3273,2707,0,United States

303,alqnna,1199190,3426,9002,12570,20214,2731,2709,0,United Kingdom

304,2O3_,1199055,2978,6272,23749,19661,4001,4072,0,Saudi Arabia

305,BlankStateOfMind,1198690,3152,4045,31506,8132,4742,3754,13,Germany

306,OverseerCathy,1191520,2919,4846,34816,15405,4150,4122,4,None

307,Miyet,1186695,3009,5056,38166,12096,5948,4724,0,None

308,Aastralix,1186615,3338,5233,20355,12494,2684,3333,6,None

309,ilikemen456,1185600,3189,6573,22662,17324,2516,2080,0,None

310,4rry,1185040,3112,6068,22213,11989,2553,5411,2,France

311,HestiaKnife,1184380,3220,4004,22198,9347,3722,2622,58,None

312,KoalaYL,1181290,3295,4448,26414,14325,3303,4341,5,Ireland

313,ExiBoi,1179855,2783,5914,37914,12594,3962,4231,0,None

314,Medif,1178600,3089,4916,27433,10849,4157,3265,0,None

315,Kaseam,1168775,2959,4208,27883,8186,3061,3888,33,United States

316,cey_,1168620,3138,4549,24815,11865,4841,3047,1,United States

